"Name";"Age";"Length";"Width";"Draft";"DWT";"GT";"Engine";"Speed";"Consumption";"Hotel Consumption";"Bunker Capacity";"Draft Empty";"Draft Tropic";"Draft WNA";"Ice Class";"Bi Fuel";"Cargo Volume";"Holds";"Opening Length";"Opening Width";"Floor Strength";"Cranes";"Maintenance";"Insurance";"Crew Wage";"Administration";"Total OPEX";"Available In";"Available At";"Time Until Docking";"Vessel Price";"Fuel Value";"Spare Parts Value";"Sundry Value";"Broker Fee";"Total Price"
"JK Boryeong";30;240;38.03;12.63;80984;48844;8826;13.5;32.4;1.47;1805;3.16;12.89;12.37;FALSE;FALSE;98574;7;15.2;17;15;0;442554;1167924;847596;296738;2754812;0;"San Antonio";245;2024600;144400;303690;101230;40492;2614412
"JP Caretta";6;229.96;38;13.8;88083;48022;12240;14.5;44.9;1.23;2008;3.45;14.09;13.51;FALSE;FALSE;101695;5;24.7;21;15;0;447191;299858;687072;322750;1756871;0;"Cape Town";320;41312835;160640;1475458;491819;826257;44267009
"Jari Star";20;133.45;22.84;8.06;11274;8801;6340;16.5;21.8;2.38;682;2.26;8.23;7.89;FALSE;FALSE;14574;3;31.15;17.84;15;4;424358;102541;687072;41310;1255281;0;"Alexandria";178;6727458;54560;432479;144160;134549;7493206
"Ji Sheng";30;293;44.58;15;145235;75566;15004;12.5;52.1;1.47;3273;3.45;15.31;14.69;FALSE;FALSE;80733;3;24;12.6;10;0;447045;1989131;847596;532163;3815935;0;"Sihanoukville";524;3630875;261840;544631;181544;72618;4691508
"Jibreel Ameen";28;195.43;32.31;11.02;41425;29275;6951;14;25.5;2.5;1629;2.98;11.25;10.79;TRUE;FALSE;56448;7;31.36;11.31;15;4;434883;534659;771960;151788;1893290;0;"San Vicente";184;5470111;130320;647776;215925;109402;6573534
"Jin Hai Fu";19;224.99;32.28;13.91;73222;38608;8673;14.5;31.8;1.23;1814;3.62;14.2;13.62;FALSE;FALSE;85561;7;16.6;14.09;10;0;444555;497650;687072;268296;1897573;0;"New York";435;13157155;145120;800097;266699;263143;14632214
"Jin Rong";14;189.8;32.26;11.93;50236;27986;8090;14.5;29.7;2.38;1809;3.1;12.18;11.68;FALSE;FALSE;63200;5;20.24;17.96;15;4;439227;266311;687072;184072;1576682;0;"Incheon";543;24787544;144720;1186638;395546;495751;27010199
"Jiu Hua";1;189.99;32.26;10.5;47483;29097;8280;14.2;30.4;1.04;1356;2.84;10.72;10.28;FALSE;FALSE;60275;5;21.32;18.26;10;0;437456;139099;598812;173985;1349352;0;"Incheon";653;40286673;108480;1241713;413904;805733;42856503
"Jop";14;169;27.2;9.69;28074;17784;7003;14.3;25.7;2.2;1042;2.62;9.89;9.49;FALSE;FALSE;37415;5;20;17.6;20;4;430484;144732;598812;102867;1276895;0;"Chiba";353;17098471;83360;818544;272848;341969;18615192
"Kai He";28;180.8;30.54;10.93;38888;22101;5847;14.25;21.5;2.38;1310;2.95;11.16;10.7;FALSE;FALSE;46110;5;19.2;15.2;15;4;434833;403638;687072;142491;1668034;0;"Portland";431;5729506;104800;678494;226165;114590;6853555
"Kai Tong";28;189.01;30.43;11.83;47175;28739;7944;14;29.2;2.67;1010;3.19;12.07;11.58;FALSE;FALSE;57615;5;18.7;14.7;15;5;436695;524870;687072;172857;1821494;0;"Hai Phong";471;4588456;80800;543370;181123;91769;5485518
"Keoyang Orient";13;269.34;43;17.42;149322;75752;13078;14.4;48;1.35;2217;4.01;17.78;17.06;FALSE;FALSE;159003;9;14.02;20;20;0;454473;742532;771960;547138;2516103;0;"Hai Phong";393;26813256;177360;1231221;410407;536265;29168509
"King Success";27;187.41;23.14;9.51;22800;17101;7180;16.5;26.4;2.96;1445;2.66;9.71;9.31;FALSE;FALSE;31450;5;25.6;15.3;20;6;434030;296126;687072;83543;1500771;0;"Walvis Bay";428;6252691;115600;669931;223310;125054;7386586
"Kiran";20;281.84;44.91;18.6;175048;91651;13330;14;48.9;1.47;1609;3.91;18.99;18.21;FALSE;FALSE;183618;9;16.2;19.8;15;0;455409;1376860;847596;641402;3321267;0;"Gothenburg";154;4376200;128720;281327;93776;87524;4967547
"Kiran Atlantic";29;193.48;26.24;11.8;38237;21968;8826;14.5;32.4;1.23;1459;3.19;12.05;11.55;FALSE;FALSE;46698;6;18.7;14;10;0;435408;422771;687072;140107;1685358;0;"Sihanoukville";617;4561513;116720;603730;201243;91230;5574436
"Kite Arrow";17;199.7;32.2;13.5;55531;36008;11520;14.5;42.3;1.8;1431;3.51;13.78;13.22;FALSE;FALSE;61340;10;13.2;27.2;10;2;440638;411123;687072;203474;1742307;0;"Mina Qaboos";211;21064889;114480;1156000;385333;421298;23142000
"Kuber";29;158.86;22.86;9.74;16523;12554;9635;16;25.6;1.8;1151;2.73;9.94;9.54;FALSE;FALSE;20640;5;25.2;18.1;10;2;428245;241600;687072;60543;1417460;0;"Nouadhibou";58;4410428;92080;583733;194578;88209;5369028
"Kumano Maru";6;254.62;43;13.47;106507;58138;12268;14.3;45;1.23;1542;3.23;13.75;13.18;FALSE;FALSE;130648;7;25;18.4;10;0;449250;395122;687072;390258;1921702;0;"Ensenada";7;51953817;123360;1855493;618498;1039076;55590244
"Kurotakisan Maru";19;234.96;38.04;13.89;87890;48323;11916;14.5;43.8;1.35;2595;3.47;14.18;13.6;FALSE;FALSE;105768;8;20;17.6;20;0;447159;622874;771960;322042;2164035;0;"Mina Qaboos";515;14391740;207600;875173;291724;287835;16054072
"Levanto";13;225;32.26;14.02;73925;39893;10055;16.4;36.9;1.23;1710;3.65;14.31;13.73;FALSE;FALSE;90874;7;14.6;15;20;0;450404;357592;687072;270873;1765941;0;"Hamburg";278;24949662;136800;1145648;381883;498993;27112986
"Lily Oldendorff";11;171.6;27;10.4;31646;19883;7061;14.7;25.9;2.2;1240;2.81;10.62;10.18;FALSE;FALSE;40200;5;20.54;22.86;10;4;433409;136136;598812;115956;1284313;0;"Tubarao";639;22142809;99200;940025;313342;442856;23938232
"Linda Dream";7;288.93;45;18.17;180180;90092;18630;14.5;68.4;1.23;2275;3.82;18.55;17.79;FALSE;FALSE;199728;9;15.7;20.7;15;0;457551;638761;687072;660207;2443591;0;"Bahia Blanca";319;35549985;182000;1311270;437090;711000;38191345
"Liwa";19;225;32.3;13.72;70728;38236;8091;14;29.7;1.23;1665;3.57;14.01;13.44;FALSE;FALSE;85092;7;16;15.4;20;0;442392;492855;687072;259158;1881477;0;"Izmir";251;13868124;133200;843332;281111;277362;15403129
"Lowlands Opal";7;189.99;32.26;12.5;55381;30678;9480;14.5;34.8;2.2;1450;3.25;12.76;12.24;FALSE;FALSE;69780;5;18.7;14.7;20;4;440599;199714;598812;202925;1442050;0;"Corpus Christi";452;34895393;116000;1287125;429042;697908;37425468
"Loxandra";8;229.5;36.97;14.7;92576;49973;11060;13.8;40.6;1.23;1630;3.68;15.01;14.39;FALSE;FALSE;109088;7;17.2;17.6;10;0;445523;340653;687072;339212;1812460;0;"Alexandria";390;42138998;130400;1606996;535665;842780;45254839
"M. Faruk";30;225.03;32.24;12.62;63494;36022;8826;13;32.4;1.35;2038;3.28;12.88;12.36;FALSE;FALSE;75446;7;16.8;12.8;10;0;437290;861333;771960;232652;2303235;0;"Rotterdam";191;1587350;163040;238103;79368;31747;2099608
"Maa Samuda";27;183.8;30.54;11.2;41066;24615;7208;14;26.5;2.38;1759;3.02;11.43;10.97;FALSE;FALSE;51150;5;19.2;15.2;15;4;434762;426240;687072;150472;1698546;0;"Sihanoukville";178;6855281;140720;734494;244831;137106;8112432
"Maasgracht";3;142.1;18.95;8.4;11759;9524;5430;15.3;17.9;1.79;622;2.35;8.58;8.23;FALSE;FALSE;15640;2;63.99;15.8;10;3;421662;46842;513924;43087;1025515;0;"Kashima";391;11607432;49760;378503;126168;232149;12394012
"Maple Pioneer";6;179.9;28.44;10.2;32500;20763;6480;13.7;23.8;2.07;1094;2.75;10.41;9.99;FALSE;FALSE;42565;5;20;19.2;10;4;430504;111772;513924;119085;1175285;0;"Izmir";187;24623225;87520;879401;293134;492465;26375745
"Mare Forum";14;183.04;31;11.67;46743;26084;7487;14.3;27.5;2.2;1060;3.15;11.91;11.43;FALSE;FALSE;59075;5;20;16;20;4;437565;212280;598812;171274;1419931;0;"Tubarao";223;22958667;84800;1099085;366362;459173;24968087
"Matrix";18;270.17;44;17.52;149363;79542;14508;14;53.3;1.35;2218;4.03;17.89;17.16;FALSE;FALSE;165258;9;14.4;19.8;10;0;453101;1058324;771960;547289;2830674;0;"Port-Gentil";649;6784124;177440;391392;130464;135682;7619102
"Medi Okinawa";3;189.99;32.25;12.72;56118;31754;9480;14.5;34.8;2.2;1730;3.31;12.99;12.46;FALSE;FALSE;71345;5;24;19.35;20;4;440786;180747;598812;205625;1425970;0;"Novorossiysk";71;39204450;138400;1278406;426135;784089;41831480
"Mega Sun";30;119.39;18.24;6.47;7206;4988;3310;14.5;11;1.25;697;1.88;6.6;6.34;FALSE;FALSE;10428;2;31.5;13.1;15;2;412764;101061;394476;26404;934705;0;"Cape Town";507;2491899;55760;373785;124595;49838;3095877
"Mei Shan Gang 9";26;158.71;22.8;10.09;16166;12215;6032;15.5;22.1;2.38;1298;2.83;10.3;9.88;FALSE;FALSE;11384;2;25.16;10.2;20;4;426553;200370;687072;59235;1373230;0;"New York";625;5949384;103840;582005;194002;118988;6948219
"Mercurius";4;180;30;9.9;34537;23456;7900;14;28.1;2.07;1169;2.67;10.11;9.69;FALSE;FALSE;48620;5;24;21;20;4;432359;118191;513924;126549;1191023;0;"Rotterdam";135;26860717;93520;902039;300680;537214;28694170
"Midland Sky";4;225;32.26;14.38;81466;42604;9700;14.6;35.6;1.04;1363;3.6;14.68;14.08;FALSE;FALSE;96033;7;18;14;10;0;446401;248604;598812;298504;1592321;0;"Novorossiysk";144;40878514;109040;1372786;457595;817570;43635505
"Ming Zhou 20";26;224.01;32.26;13.12;64944;36569;7657;14;28.1;1.35;1599;3.41;13.39;12.85;TRUE;FALSE;79849;7;16.7;15.3;15;0;441186;706913;771960;237965;2158024;0;"Cape Town";178;3602900;127920;352458;117486;72058;4272822
"Ming Zhou 30";26;215.39;31.86;12.3;52670;31649;10075;14.2;37;1.23;1512;3.2;12.56;12.04;FALSE;FALSE;62904;8;12.8;16.8;20;0;438909;611805;687072;192991;1930777;0;"Incheon";110;7989935;120960;781624;260541;159799;9312859
"Mount Adams";12;170;27;9.77;28488;17431;5884;13.5;21.6;2.2;823;2.64;9.97;9.57;FALSE;FALSE;37730;5;19.2;18;10;4;428003;126251;598812;104384;1257450;0;"Marseille";385;19454040;65840;858266;286089;389081;21053316
"My Thinh";23;134.4;21.2;7.94;14348;8414;2795;12.2;10.3;2.38;646;2.22;8.11;7.77;FALSE;FALSE;17984;4;16.94;12.96;20;4;413981;116722;687072;52573;1270348;0;"Tanger";172;6893930;51680;534874;178291;137879;7796654
"NSS Fortune";11;290;47;17.98;184872;94779;16858;14.5;61.9;1.35;3383;3.78;18.35;17.61;FALSE;FALSE;205632;9;15.5;22.6;20;0;457927;826220;771960;677399;2733506;0;"Izmir";632;27210867;270640;1155178;385059;544217;29565961
"NSU Milestone";1;329.95;57;18.03;250675;132868;21910;15;80.5;1.23;3955;3.24;18.4;17.65;FALSE;FALSE;164510;5;23.7;17;20;0;464072;797908;687072;918511;2867563;0;"Esmeraldas";578;131942137;316400;4066710;1355570;2638843;140319660
"Nanticoke Belle";25;170.02;26.5;10.1;28835;17590;5665;14;20.8;2.38;747;2.73;10.31;9.89;FALSE;FALSE;37340;5;25.25;21.5;10;4;429870;273093;687072;105656;1495691;0;"San Antonio";255;8940607;59760;804655;268218;178812;10252052
"Narew";2;149.96;23.6;8.25;16573;13579;6570;14;17.2;1.79;777;2.31;8.42;8.08;FALSE;FALSE;23800;5;17.99;17.7;10;3;422319;65616;513924;60726;1062585;0;"Esmeraldas";347;16298970;62160;516517;172172;325979;17375798
"Navios Galaxy";13;224.89;32.2;13.95;74195;38846;8680;14.5;31.9;1.23;1122;3.63;14.24;13.66;FALSE;FALSE;89243;7;16.8;14.85;10;0;444742;348207;687072;271862;1751883;0;"Gothenburg";524;25042246;89760;1149899;383300;500845;27166050
"Nelvana";26;243.06;32.29;13.93;74973;44340;11327;14.5;41.6;1.35;1632;3.62;14.22;13.64;FALSE;FALSE;75460;5;5.8;21.6;20;0;444891;857134;771960;274713;2348698;0;"Shanghai";190;1874325;130560;183358;61119;37487;2286849
"Nemo";15;189.9;32.2;11.62;48913;28073;7700;13.5;28.3;2.38;1809;3.14;11.86;11.38;FALSE;FALSE;61555;5;20;17;10;4;435471;242486;687072;179225;1544254;0;"Dalian";636;21990551;144720;1099528;366509;439811;24041119
"New Joy";5;269.29;43;17.42;149297;76068;12946;14;47.5;1.23;2262;4.01;17.78;17.06;FALSE;FALSE;165618;9;14.02;20;10;0;453095;498069;687072;547047;2185283;0;"Esmeraldas";104;50720971;180960;1755726;585242;1014419;54257318
"New Phoenix";29;224.52;32.26;12.84;65051;35208;13020;13.5;38.4;1.35;1309;3.34;13.11;12.57;FALSE;FALSE;74858;7;14.7;14.4;15;0;439462;799393;771960;238357;2249172;0;"Cork";406;1626275;104720;215242;71747;32526;2050510
"Ning An 10";19;185;32;9.53;36090;26392;4942;13.5;18.1;1.23;1130;2.57;9.73;9.33;FALSE;FALSE;42420;5;16.8;16;15;0;431255;289772;687072;132239;1540338;0;"Karachi";256;15499729;90400;942551;314184;309995;17156859
"Ning An 5";21;185;32;9.5;36019;26448;9142;13.5;25.9;1.35;1235;2.57;9.7;9.3;FALSE;FALSE;42360;5;16.8;16;15;0;431228;326820;771960;131980;1661988;0;"Portland";2;13667544;98800;931878;310626;273351;15282199
"Nordpol";12;225;32.26;14.27;77195;40066;11044;16;40.6;2.38;1251;3.57;14.57;13.97;TRUE;FALSE;91959;7;18.7;14;15;4;449900;338661;687072;282855;1758488;0;"Novorossiysk";592;28256412;100080;1246606;415535;565128;30583761
"Nordtramp";13;288.93;45;17.62;171199;85379;16107;14.3;59.1;1.35;2480;3.88;17.99;17.25;FALSE;FALSE;188208;9;15.66;20.8;10;0;456125;836898;771960;627299;2692282;0;"Port-Gentil";593;8916040;198400;409410;136470;178321;9838641
"Occitan";11;165.5;27;9.6;27112;16418;5370;14.4;19.7;2.2;1283;2.59;9.8;9.4;FALSE;FALSE;34810;5;19.2;13.5;10;4;430325;112412;598812;99342;1240891;0;"Novorossiysk";337;19832017;102640;841925;280642;396640;21453864
"Ocean Armonia";29;180.8;30.54;10.93;39013;22089;5884;14.25;21.6;2.38;1417;2.95;11.16;10.7;FALSE;FALSE;46135;5;19.2;15.2;20;4;434878;425099;687072;142950;1689999;0;"Tubarao";537;4470257;113360;591652;197217;89405;5461891
"Ocean Pearl";29;160;24.4;9.89;23821;14031;4759;13.5;17.5;2.09;857;2.77;10.1;9.68;FALSE;FALSE;30548;4;19.2;12.8;15;3;425560;270024;687072;87284;1469940;0;"Tanger";424;4791789;68560;634207;211402;95836;5801794
"Ocean Pride";17;225;32.2;13.52;72416;37847;12269;14.5;45.1;1.23;1484;3.52;13.8;13.24;FALSE;FALSE;84791;7;17;14.4;15;0;444396;432120;687072;265343;1828931;0;"Rostock";236;16478793;118720;904324;301441;329576;18132854
"Ocean Prince";15;194.94;32.2;12.23;50655;29688;10474;15.5;38.5;2.38;1823;3.18;12.48;11.98;FALSE;FALSE;52864;8;16.8;27.37;10;4;442430;300112;687072;185608;1615222;0;"Tallinn";288;23434074;145840;1171704;390568;468681;25610867
"Ocean Prometheus";7;299.95;50;17.91;203200;101953;16020;14;58.8;1.23;3197;3.58;18.28;17.54;FALSE;FALSE;217971;9;24;15.48;10;0;457586;722856;687072;744555;2612069;0;"Antwerp";596;46391418;255760;1711159;570386;927828;49856551
"Onga";13;319.54;54;18.13;229228;113887;22435;15.1;82.4;1.35;3009;3.44;18.51;17.75;FALSE;FALSE;146961;9;23.75;17;20;0;463068;1116337;771960;839926;3191291;0;"Rio Grande";537;27563719;240720;1265681;421894;551274;30043288
"Orchid Dragon";18;190;30.54;11.22;43873;26870;8562;14.6;31.4;2.2;1850;3.03;11.45;10.99;FALSE;FALSE;56615;5;18.92;16;15;4;437647;277901;598812;160758;1475118;0;"Tallinn";618;17828245;148000;1028553;342851;356565;19704214
"Ore Itabira";23;290.04;46;18.7;189043;93699;13534;13.6;49.7;1.47;2864;3.93;19.09;18.31;FALSE;FALSE;203004;9;15.3;21.2;20;0;455092;1680803;847596;692682;3676173;0;"Mumbai";364;4726075;229120;366678;122226;94522;5538621
"Ore Timbopeba";28;300.01;50.04;18.12;200692;100070;15226;13.5;55.9;1.47;2277;3.62;18.5;17.74;FALSE;FALSE;121708;4;20.7;14.9;20;0;455594;2371803;847596;735366;4410359;0;"Rotterdam";248;5017300;182160;594154;198051;100346;6092011
"Ore Tubarao";29;300;50.07;18.03;198906;101222;13549;13.5;49.8;1.47;1758;3.79;18.41;17.65;FALSE;FALSE;120104;4;30;14.4;20;0;455464;2529504;847596;728821;4561385;0;"Newcastle";411;4972650;140640;658145;219382;99453;6090270
"Oregon";12;225;32.26;13.92;74204;38727;9974;14.5;36.6;1.23;1349;3.62;14.21;13.63;FALSE;FALSE;86408;7;21.12;17.6;10;0;444744;327343;687072;271895;1731054;0;"Jeddah";81;28407581;107920;1253276;417759;568152;30754688
"Oriental Beauty";3;149.53;24;8.73;19986;12834;5180;15.1;19;1.79;936;2.44;8.91;8.55;FALSE;FALSE;25396;4;22.38;18;10;3;428291;63121;513924;73232;1078568;0;"Chiba";331;18033267;74880;588041;196014;360665;19252867
"Pacific Garnet";19;329;57.2;20.77;277047;156280;23293;15;85.5;1.35;2835;3.53;21.2;20.34;FALSE;FALSE;154998;9;15.15;14.88;20;0;465560;2210024;771960;1015142;4462686;0;"Rotterdam";305;19676445;226800;1196541;398847;393529;21892162
"Pamoceanis";7;189.9;32.26;12.3;53562;29953;9480;15.75;34.8;2.2;1066;3.2;12.56;12.04;FALSE;FALSE;68870;5;15.5;15;10;4;443953;194994;598812;196259;1434018;0;"Wilhelmshaven";152;34428362;85280;1269899;423300;688567;36895408
"Panagiotis D";23;224.98;32.2;13.3;69337;35890;8827;14.5;32.4;1.35;1303;3.46;13.58;13.02;FALSE;FALSE;82026;7;17.6;14.4;10;0;443780;585907;771960;254062;2055709;0;"Dalian";688;7291456;104240;565716;188572;145829;8295813
"Phoenix Beauty";4;287.5;45.06;17.7;170000;88397;16860;14.6;61.9;1.23;2423;3.89;18.07;17.33;FALSE;FALSE;191655;9;16.8;21;20;0;457034;560815;687072;622906;2327827;0;"Port-Gentil";365;39327234;193840;1320691;440230;786545;42068540
"Pitts";24;186.13;28.4;11.02;38393;25022;7856;15.1;28.8;1.23;1338;2.98;11.25;10.79;FALSE;FALSE;44388;6;20;17.8;10;0;437333;367366;687072;140678;1632449;0;"Antwerp";454;10722091;107040;893508;297836;214442;12234917
"Pomorye";7;180.5;22.9;9.91;23645;15868;9488;13;17.5;0.92;923;2.77;10.12;9.7;TRUE;FALSE;25445;7;12.8;13.5;10;0;423684;88973;513924;86639;1113220;0;"Kolkata";468;18849245;73840;695259;231753;376985;20227082
"Power Ranger";18;189.95;32.25;11.1;45946;26330;7728;14.5;28.4;2.38;1668;3;11.33;10.87;TRUE;FALSE;57670;5;20;16.4;15;4;437974;272316;687072;168353;1565715;0;"Rotterdam";405;18094002;133440;1043885;347962;361880;19981169
"Powerful";20;225;32.2;13.6;70083;38639;9022;14.4;33.1;1.35;1643;3.54;13.88;13.32;FALSE;FALSE;85057;7;16.6;14.4;10;0;443604;528863;771960;256795;2001222;0;"Newcastle";40;12509598;131440;804188;268063;250192;13963481
"Qing Ping Hai";29;184.99;28.45;10.91;37744;22531;6415;14.25;23.6;2.38;1198;2.95;11.14;10.68;TRUE;FALSE;48190;5;20;16;20;4;434417;433606;687072;138300;1693395;0;"Kolkata";449;4616234;95840;610972;203657;92325;5619028
"Red Cedar";13;192.9;27.8;11.2;30538;23132;15785;18;55;2.2;2254;3.02;11.43;10.97;FALSE;FALSE;34775;5;24.58;18.07;10;4;441876;177501;598812;111896;1330085;0;"Bahia Blanca";150;19033282;180320;873977;291326;380666;20759571
"Reestborg";2;169.75;20.4;9.72;23249;14141;4500;13.5;16.5;0.92;905;2.72;9.92;9.52;TRUE;FALSE;26750;2;60.59;17;20;0;425229;68332;513924;85188;1092673;0;"Izmir";605;21455424;72400;679925;226642;429108;22863499
"Renate N";23;327.5;57.24;20.82;278380;154644;23479;15;86.2;1.47;4776;3.54;21.25;20.39;FALSE;FALSE;154998;6;15.15;14.88;20;0;465631;2774054;847596;1020026;5107307;0;"Chiba";398;6959500;382080;539961;179987;139190;8200718
"Roma Snug";3;260;43;14.5;118000;65950;13560;14.5;49.8;1.23;1490;3.48;14.8;14.2;FALSE;FALSE;139006;7;23;17.8;10;0;451395;407972;687072;432370;1978809;0;"Wilhelmshaven";669;65465657;119200;2134750;711583;1309313;69740503
"Rosco Poplar";6;224.86;32.26;14.43;82331;42647;9378;14.5;34.4;1.04;1155;3.61;14.73;14.13;FALSE;FALSE;94297;7;16;13.1;10;0;446225;266296;598812;301674;1613007;0;"Novorossiysk";195;38580546;92400;1377877;459292;771611;41281726
"SKS Mosel";11;249.9;44.04;14.8;120670;70933;15519;15.2;57;1.35;2412;3.55;15.11;14.49;FALSE;FALSE;122045;7;15.39;18.09;15;0;453969;618346;771960;442153;2286428;0;"Kashima";361;51313874;192960;2178419;726140;1026277;55437670
"Saga Sky";18;199.2;30.57;11.82;47053;29381;8951;14.5;32.9;1.62;1331;3.19;12.07;11.57;TRUE;FALSE;51950;10;13.2;25.3;10;2;438308;303870;598812;172410;1513400;0;"Port-Gentil";169;18210877;106480;1050628;350209;364218;20082412
"Saga discovery";8;199.2;30.59;11.8;46618;29758;11200;14.5;38.1;1.5;1598;3.19;12.05;11.55;FALSE;FALSE;53230;5;13.2;25.3;20;2;438178;174541;513924;170815;1297458;0;"Newcastle";716;30617140;127840;1167603;389201;612343;32914127
"Sam Eagle";4;179.9;28.43;10.15;32581;20846;7150;14;26.3;2.07;1305;2.74;10.36;9.94;FALSE;FALSE;43965;5;21.98;19.9;10;4;431554;105039;513924;119382;1169899;0;"Bahia Blanca";672;25750473;104400;864755;288252;515009;27522889
"Sea Venus";24;224.95;32.2;13.22;68849;36741;7503;13.85;27.6;1.35;1217;3.44;13.5;12.94;FALSE;FALSE;80808;7;16.6;14.9;15;0;441494;635110;771960;252274;2100838;0;"Incheon";268;5532716;97360;461060;153687;110654;6355477
"Sevilla Wave";28;183.09;22.46;10.51;26858;15933;7000;17.75;25.7;2.38;1232;2.84;10.73;10.29;FALSE;FALSE;35553;7;14.4;11.4;20;4;439469;290990;687072;98412;1515943;0;"Cape Town";101;6089016;98560;721068;240356;121780;7270780
"Shin Heiryu";11;299.95;50;17.91;203315;102207;16020;14.5;58.8;1.35;3068;3.58;18.28;17.54;FALSE;FALSE;217971;9;23.4;15.68;10;0;459322;890972;771960;744977;2867231;0;"Hai Phong";86;35072080;245440;1488909;496303;701442;38004174
"Shin Sanyo Maru";7;235;43;12.93;91439;50502;11915;14;43.8;1.23;1688;3.23;13.2;12.66;FALSE;FALSE;108930;5;24.7;21;20;0;446042;328769;687072;335047;1796930;0;"Walvis Bay";100;42210529;135040;1556946;518982;844211;45265708
"Shin Sapporro Maru";12;235;43;12.89;91439;50578;11916;14;43.8;1.35;2335;3.22;13.16;12.62;FALSE;FALSE;111685;5;24.71;21;20;0;446042;427515;771960;335047;1980564;0;"Kolkata";393;33565096;186800;1480813;493604;671302;36397615
"Silver Bell";25;311.92;50;18.02;207672;110352;12122;12.8;44.5;1.47;2852;3.6;18.4;17.64;FALSE;FALSE;238788;9;15.81;23;20;0;453403;2218954;847596;760941;4280894;0;"Dunkirk";322;5191800;228160;467262;155754;103836;6146812
"Silver Lake";6;179.9;28.44;10.15;33171;20987;6480;13.7;23.8;2.07;1591;2.74;10.36;9.94;FALSE;FALSE;42565;5;20;19.2;10;4;430786;112978;513924;121544;1179232;0;"Odessa";223;24986313;127280;892368;297456;499726;26803143
"Silver Ocean";20;269.04;43.05;17.7;151102;74843;17599;14.2;64.6;1.47;2713;3.89;18.07;17.33;FALSE;FALSE;165735;9;14.4;19;15;0;453964;1124356;847596;553660;2979576;0;"Odessa";264;3777550;217040;242843;80948;75551;4393932
"Silverfjord";12;185.5;29;11.02;37420;27828;9601;14.5;32.9;2.2;2029;2.98;11.25;10.79;FALSE;FALSE;47502;6;26.4;25;10;4;435106;201556;598812;137112;1372586;0;"Port-Gentil";379;23362566;162320;1030701;343567;467251;25366405
"Sino Merchant";12;332;58;23.02;322457;155051;25480;14.7;93.6;1.35;3545;3.68;23.5;22.54;FALSE;FALSE;179137;7;26;17.6;20;0;466831;1432227;771960;1181531;3852549;0;"Port-Gentil";598;106580323;283600;4702073;1567358;2131606;115264960
"Solitaire 1";14;159.92;26;9.8;24997;15609;6157;14.5;22.6;1.91;1102;2.74;10;9.6;FALSE;FALSE;31960;4;24.8;22;15;3;429525;127031;598812;91593;1246961;0;"Newcastle";108;15374637;88160;736020;245340;307493;16751650
"Southern Wisdom";10;289;45;17.98;177325;88548;16858;14.5;61.9;1.35;2603;3.77;18.35;17.6;FALSE;FALSE;197091;9;15.48;20.6;10;0;457316;729876;771960;649746;2608898;0;"Shanghai";40;28888143;208240;1181788;393929;577763;31249863
"Splendour";30;155.82;24.6;9.99;23593;13720;5112;14.2;18.8;2.38;1195;2.8;10.2;9.78;FALSE;FALSE;29008;4;19.2;12.8;20;4;427773;277978;687072;86449;1479272;0;"Dunkirk";407;4072084;95600;610813;203604;81442;5063543
"Star Isfjord";14;198;31.12;12.32;46428;32628;11047;16.4;40.6;1.62;1421;3.33;12.58;12.06;FALSE;FALSE;55286;11;12.3;26.24;10;2;443748;265537;598812;170119;1478216;0;"Mina Saqr";538;22893598;113680;1095970;365323;457872;24926443
"Star Japan";10;198;31.06;12;44807;32844;10519;16.55;38.6;1.62;1633;3.24;12.25;11.75;FALSE;FALSE;61400;5;25.6;18.34;20;2;443650;213002;598812;164180;1419644;0;"Kashima";588;28831980;130640;1179490;393163;576640;31111913
"Star big";18;283;45;18.17;168404;85034;16860;14.6;61.9;1.35;2455;4;18.55;17.79;FALSE;FALSE;185310;9;15.3;20;15;0;456895;1131396;771960;617058;2977309;0;"Jeddah";333;4210100;196400;242890;80963;84202;4814555
"Stark";30;225;32.24;12.43;61748;35744;7811;14.5;28.7;1.35;1442;3.23;12.69;12.17;FALSE;FALSE;75026;7;18;14;10;0;442136;854686;771960;226254;2295036;0;"Rostock";226;1543700;115360;231555;77185;30874;1998674
"Steel Titan";23;225;32.21;13.11;65434;36448;9451;14.4;34.7;1.35;1668;3.41;13.38;12.84;TRUE;FALSE;78015;7;14.6;15;20;0;442630;595016;771960;239760;2049366;0;"Shanghai";159;9442345;133440;732596;244199;188847;10741427
"Stellar Atlantic";11;137.9;25;8.42;18820;11349;5180;13;15;1.91;959;2.36;8.6;8.24;FALSE;FALSE;22920;4;18.2;15;20;3;420600;77705;598812;68959;1166076;0;"Karachi";154;14741212;76720;625806;208602;294824;15947164
"Sunny Voyager";29;280.04;42.58;17.02;140532;72381;16980;14;62.4;1.47;2345;3.91;17.37;16.67;FALSE;FALSE;164979;9;14.9;20;10;0;452219;1808777;847596;514930;3623522;0;"Hamburg";71;3513300;187600;464996;154999;70266;4391161
"Sunrise 1";30;224.52;32.24;12.46;58635;34920;11768;15.5;43.2;1.93;1708;3.24;12.72;12.2;FALSE;FALSE;72814;7;16;13.1;10;2;444507;834983;771960;214848;2266298;0;"Tallinn";534;1465875;136640;219881;73294;29318;1925008
