"Canal";"Canal Width";"Canal Depth";"Canal Fee";"Distance Using Canal";"Distance Not Using Canal";"Risk Of Piracy";"Applicable Loadline";"Start Port";"Start Port Port Limit";"Start Port Penalty for Greylisted Flag";"Start Port Ice Class Required";"Start Port Penalty for High Sulphur Fuel";"Start Port Bunker Price";"Start Port Port Tariff";"Start Port Waiting Time";"Start Port Loading Capacity";"Start Port Unloading Capacity";"Start Port Repair Costs";"Start Port Dock Size";"Start Port Yearly Port Trade";"End Port";"End Port Port Limit";"End Port Penalty for Greylisted Flag";"End Port Ice Class Required";"End Port Penalty for High Sulphur Fuel";"End Port Bunker Price";"End Port Port Tariff";"End Port Waiting Time";"End Port Loading Capacity";"End Port Unloading Capacity";"End Port Repair Costs";"End Port Dock Size";"End Port Yearly Port Trade"
"No";200;50;0;5418;5418;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60
"No";200;50;0;5791;5791;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Gdansk";15;FALSE;TRUE;FALSE;294;2.1;2.17;75;37.5;180;135000;24
"No";200;50;0;6054;6054;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Tallinn";8.7;FALSE;TRUE;FALSE;290.5;2.1;1.92;125;75;180;55000;41
"No";200;50;0;5634;5634;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Rostock";13;FALSE;TRUE;FALSE;294;2.1;2.57;0;0;250;75000;10
"No";200;50;0;6063;6063;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Odessa";12.5;FALSE;TRUE;FALSE;319;2.2;3.72;0;0;100;55000;35
"No";200;50;0;6177;6177;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Novorossiysk";13.2;FALSE;TRUE;FALSE;340;2.2;2.75;125;75;150;190000;1
"No";200;50;0;6307;6307;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Batumi";10.5;FALSE;TRUE;FALSE;414;2.2;4.17;12.5;12.5;400;0;4
"No";200;50;0;10857;10857;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Shanghai";22;FALSE;FALSE;FALSE;317;2.04;2.42;125;75;140;400000;500
"No";200;50;0;10158;10158;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Guangzhou";15;FALSE;FALSE;FALSE;334;2.04;1.92;125;75;140;200000;300
"No";200;50;0;11237;11237;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Dalian";10.8;FALSE;FALSE;FALSE;334;2.04;1.75;125;75;140;200000;267
"No";200;50;0;0;0;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80
"No";200;50;0;993;993;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27
"No";200;50;0;1663;1663;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14
"Panama";32.53;12.6;2;11511;11580;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Kashima";19;FALSE;FALSE;FALSE;331;2;2.75;37.5;12.5;250;0;25
"No";200;50;0;11525;11525;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Chiba";19;FALSE;FALSE;FALSE;331;2;2.53;125;75;250;500000;167
"No";200;50;0;11175;11175;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Incheon";15;FALSE;FALSE;FALSE;344;2;1.81;125;75;400;0;150
"No";200;50;0;4974;4974;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Rotterdam";22.5;FALSE;FALSE;FALSE;271;2.06;3.36;125;75;250;500000;430
"No";200;50;0;4875;4875;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Dunkirk";18;FALSE;FALSE;FALSE;305;2.06;2.54;125;75;270;190000;57
"No";200;50;0;4663;4663;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Cork";8.7;FALSE;FALSE;FALSE;418;2.06;2.48;37.5;12.5;280;25000;9
"No";200;50;0;5171;5171;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Wilhelmshaven";18.5;FALSE;FALSE;FALSE;277;2.06;2.17;125;75;250;45000;43
"No";200;50;0;7757;7757;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Mumbai";11.8;FALSE;FALSE;FALSE;329;2.08;4.27;125;75;90;50000;57
"No";200;50;0;8647;8647;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Kolkata";8.7;FALSE;FALSE;FALSE;357;2.08;2.13;125;75;90;35000;57
"No";200;50;0;7829;7829;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Karachi";10.75;FALSE;FALSE;FALSE;340;2.08;3.67;125;75;90;26000;38
"No";200;50;0;5562;5562;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Izmir";10;FALSE;FALSE;FALSE;371;2.06;2.47;125;75;400;0;12
"No";200;50;0;4611;4611;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Marseille";11;FALSE;FALSE;FALSE;294;2.06;4.21;125;75;270;500000;86
"No";200;50;0;4353;4353;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Gijon";17.9;FALSE;FALSE;FALSE;305;2.06;4.05;75;37.5;400;0;15
"No";200;50;0;7912;7912;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Mina Saqr";12.2;FALSE;FALSE;FALSE;364;2.06;5.01;37.5;12.5;400;0;66
"No";200;50;0;7613;7613;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Mina Qaboos";13;FALSE;FALSE;FALSE;364;2.06;3.01;125;75;400;0;14
"Suez";77.5;20;2;6557;7811;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Jeddah";13.5;FALSE;FALSE;FALSE;364;2.06;3;75;37.5;160;45000;52
"No";200;50;0;3902;3902;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Tanger";16;FALSE;FALSE;FALSE;371;2.06;3.96;37.5;12.5;400;0;12
"No";200;50;0;2180;2180;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Nouadhibou";16.15;FALSE;FALSE;FALSE;426;2.06;4.32;75;37.5;400;0;17
"No";200;50;0;5719;5719;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Alexandria";12.8;FALSE;FALSE;FALSE;380;2.06;1.89;0;0;110;90000;34
"No";200;50;0;5101;5101;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Corpus Christi";15;FALSE;FALSE;FALSE;305;2.1;2.94;37.5;12.5;260;25000;88
"No";200;50;0;4474;4474;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"New York";16.8;FALSE;FALSE;FALSE;292;2.1;2.42;125;75;260;75000;78
"Panama";32.53;12.6;2;6818;8397;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Ensenada";13.5;FALSE;FALSE;FALSE;335;2.1;3.22;12.5;12.5;140;65000;3
"Panama";32.53;12.6;2;7872;9462;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Portland";12.3;FALSE;FALSE;FALSE;340;2.1;2.44;125;75;260;81000;15
"No";200;50;0;8343;8343;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Dampier";18;FALSE;FALSE;FALSE;429;2.06;4.79;125;12.5;400;0;171
"No";200;50;0;8384;8384;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Newcastle";16.2;FALSE;FALSE;FALSE;419;2.06;3.15;75;37.5;400;0;91
"No";200;50;0;8416;8416;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Melbourne";12.1;FALSE;FALSE;FALSE;439;2.06;3.96;37.5;12.5;270;20000;80
"No";200;50;0;8794;8794;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Pasir Gudang";12.5;FALSE;FALSE;FALSE;296;2.04;1.99;75;37.5;160;450000;43
"No";200;50;0;9577;9577;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Sihanoukville";10.5;FALSE;FALSE;FALSE;309;2.04;2.48;75;12.5;400;0;2
"No";200;50;0;9955;9955;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Hai Phong";8.5;FALSE;FALSE;FALSE;333;2.04;2.87;75;37.5;90;14000;19
"No";200;50;0;3086;3086;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Walvis Bay";14;FALSE;FALSE;FALSE;481;2.2;3.84;125;37.5;240;7500;8
"No";200;50;0;3958;3958;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Richards Bay";17.5;FALSE;FALSE;FALSE;327;2.2;2.56;75;12.5;400;0;83
"No";200;50;0;3204;3204;0;"Design";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Cape Town";13.1;FALSE;FALSE;FALSE;336;2.2;3.01;125;75;240;200000;13
"No";200;50;0;3852;3852;0;"WNA";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"San Vicente";12.2;FALSE;FALSE;FALSE;414;2.1;3.26;125;37.5;400;0;3
"No";200;50;0;4055;4055;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"San Antonio";13.5;FALSE;FALSE;FALSE;364;2.1;4.07;75;12.5;400;0;13
"Panama";32.53;12.6;2;4496;6140;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Esmeraldas";11;FALSE;FALSE;FALSE;421;2.1;2.01;0;0;400;0;1
"No";200;50;0;2397;2397;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Kamsar";230;FALSE;FALSE;FALSE;393;2.26;3.88;125;75;400;0;19
"No";200;50;0;3130;3130;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Lome";11.5;FALSE;FALSE;FALSE;372;2.26;1.94;75;37.5;400;0;1
"No";200;50;0;3127;3127;0;"Tropic";"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80;"Port-Gentil";10.5;FALSE;FALSE;FALSE;393;2.26;2.75;12.5;12.5;400;0;4
"No";200;50;0;6395;6395;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60
"No";200;50;0;6768;6768;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Gdansk";15;FALSE;TRUE;FALSE;294;2.1;2.17;75;37.5;180;135000;24
"No";200;50;0;7031;7031;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Tallinn";8.7;FALSE;TRUE;FALSE;290.5;2.1;1.92;125;75;180;55000;41
"No";200;50;0;6611;6611;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Rostock";13;FALSE;TRUE;FALSE;294;2.1;2.57;0;0;250;75000;10
"No";200;50;0;7040;7040;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Odessa";12.5;FALSE;TRUE;FALSE;319;2.2;3.72;0;0;100;55000;35
"No";200;50;0;7154;7154;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Novorossiysk";13.2;FALSE;TRUE;FALSE;340;2.2;2.75;125;75;150;190000;1
"No";200;50;0;7284;7284;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Batumi";10.5;FALSE;TRUE;FALSE;414;2.2;4.17;12.5;12.5;400;0;4
"No";200;50;0;11129;11129;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Shanghai";22;FALSE;FALSE;FALSE;317;2.04;2.42;125;75;140;400000;500
"No";200;50;0;10430;10430;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Guangzhou";15;FALSE;FALSE;FALSE;334;2.04;1.92;125;75;140;200000;300
"No";200;50;0;11509;11509;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Dalian";10.8;FALSE;FALSE;FALSE;334;2.04;1.75;125;75;140;200000;267
"No";200;50;0;993;993;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80
"No";200;50;0;0;0;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27
"No";200;50;0;710;710;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14
"No";200;50;0;10957;10957;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Kashima";19;FALSE;FALSE;FALSE;331;2;2.75;37.5;12.5;250;0;25
"No";200;50;0;10906;10906;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Chiba";19;FALSE;FALSE;FALSE;331;2;2.53;125;75;250;500000;167
"No";200;50;0;11447;11447;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Incheon";15;FALSE;FALSE;FALSE;344;2;1.81;125;75;400;0;150
"No";200;50;0;5951;5951;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Rotterdam";22.5;FALSE;FALSE;FALSE;271;2.06;3.36;125;75;250;500000;430
"No";200;50;0;5852;5852;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Dunkirk";18;FALSE;FALSE;FALSE;305;2.06;2.54;125;75;270;190000;57
"No";200;50;0;5643;5643;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Cork";8.7;FALSE;FALSE;FALSE;418;2.06;2.48;37.5;12.5;280;25000;9
"No";200;50;0;6148;6148;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Wilhelmshaven";18.5;FALSE;FALSE;FALSE;277;2.06;2.17;125;75;250;45000;43
"No";200;50;0;8029;8029;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Mumbai";11.8;FALSE;FALSE;FALSE;329;2.08;4.27;125;75;90;50000;57
"No";200;50;0;8919;8919;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Kolkata";8.7;FALSE;FALSE;FALSE;357;2.08;2.13;125;75;90;35000;57
"No";200;50;0;8101;8101;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Karachi";10.75;FALSE;FALSE;FALSE;340;2.08;3.67;125;75;90;26000;38
"No";200;50;0;6539;6539;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Izmir";10;FALSE;FALSE;FALSE;371;2.06;2.47;125;75;400;0;12
"No";200;50;0;5588;5588;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Marseille";11;FALSE;FALSE;FALSE;294;2.06;4.21;125;75;270;500000;86
"No";200;50;0;5330;5330;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Gijon";17.9;FALSE;FALSE;FALSE;305;2.06;4.05;75;37.5;400;0;15
"No";200;50;0;8184;8184;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Mina Saqr";12.2;FALSE;FALSE;FALSE;364;2.06;5.01;37.5;12.5;400;0;66
"No";200;50;0;7885;7885;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Mina Qaboos";13;FALSE;FALSE;FALSE;364;2.06;3.01;125;75;400;0;14
"Suez";77.5;20;2;7534;8083;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Jeddah";13.5;FALSE;FALSE;FALSE;364;2.06;3;75;37.5;160;45000;52
"No";200;50;0;4879;4879;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Tanger";16;FALSE;FALSE;FALSE;371;2.06;3.96;37.5;12.5;400;0;12
"No";200;50;0;3782;3782;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Nouadhibou";16.15;FALSE;FALSE;FALSE;426;2.06;4.32;75;37.5;400;0;17
"No";200;50;0;6696;6696;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Alexandria";12.8;FALSE;FALSE;FALSE;380;2.06;1.89;0;0;110;90000;34
"No";200;50;0;6078;6078;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Corpus Christi";15;FALSE;FALSE;FALSE;305;2.1;2.94;37.5;12.5;260;25000;88
"No";200;50;0;5454;5454;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"New York";16.8;FALSE;FALSE;FALSE;292;2.1;2.42;125;75;260;75000;78
"No";200;50;0;7286;7286;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Ensenada";13.5;FALSE;FALSE;FALSE;335;2.1;3.22;12.5;12.5;140;65000;3
"No";200;50;0;8558;8558;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Portland";12.3;FALSE;FALSE;FALSE;340;2.1;2.44;125;75;260;81000;15
"No";200;50;0;8615;8615;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Dampier";18;FALSE;FALSE;FALSE;429;2.06;4.79;125;12.5;400;0;171
"No";200;50;0;7480;7480;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Newcastle";16.2;FALSE;FALSE;FALSE;419;2.06;3.15;75;37.5;400;0;91
"No";200;50;0;7512;7512;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Melbourne";12.1;FALSE;FALSE;FALSE;439;2.06;3.96;37.5;12.5;270;20000;80
"No";200;50;0;9066;9066;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Pasir Gudang";12.5;FALSE;FALSE;FALSE;296;2.04;1.99;75;37.5;160;450000;43
"No";200;50;0;9849;9849;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Sihanoukville";10.5;FALSE;FALSE;FALSE;309;2.04;2.48;75;12.5;400;0;2
"No";200;50;0;10227;10227;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Hai Phong";8.5;FALSE;FALSE;FALSE;333;2.04;2.87;75;37.5;90;14000;19
"No";200;50;0;3545;3545;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Walvis Bay";14;FALSE;FALSE;FALSE;481;2.2;3.84;125;37.5;240;7500;8
"No";200;50;0;4230;4230;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Richards Bay";17.5;FALSE;FALSE;FALSE;327;2.2;2.56;75;12.5;400;0;83
"No";200;50;0;3486;3486;0;"Design";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Cape Town";13.1;FALSE;FALSE;FALSE;336;2.2;3.01;125;75;240;200000;13
"No";200;50;0;2948;2948;0;"WNA";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"San Vicente";12.2;FALSE;FALSE;FALSE;414;2.1;3.26;125;37.5;400;0;3
"No";200;50;0;3151;3151;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"San Antonio";13.5;FALSE;FALSE;FALSE;364;2.1;4.07;75;12.5;400;0;13
"No";200;50;0;5236;5236;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Esmeraldas";11;FALSE;FALSE;FALSE;421;2.1;2.01;0;0;400;0;1
"No";200;50;0;3356;3356;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Kamsar";230;FALSE;FALSE;FALSE;393;2.26;3.88;125;75;400;0;19
"No";200;50;0;3836;3836;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Lome";11.5;FALSE;FALSE;FALSE;372;2.26;1.94;75;37.5;400;0;1
"No";200;50;0;3914;3914;0;"Tropic";"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27;"Port-Gentil";10.5;FALSE;FALSE;FALSE;393;2.26;2.75;12.5;12.5;400;0;4
"No";200;50;0;7064;7064;0;"WNA";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Gothenburg";7.4;FALSE;TRUE;FALSE;294;2.1;1.92;125;75;270;24000;60
"No";200;50;0;7437;7437;0;"WNA";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Gdansk";15;FALSE;TRUE;FALSE;294;2.1;2.17;75;37.5;180;135000;24
"No";200;50;0;7700;7700;0;"WNA";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Tallinn";8.7;FALSE;TRUE;FALSE;290.5;2.1;1.92;125;75;180;55000;41
"No";200;50;0;7280;7280;0;"WNA";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Rostock";13;FALSE;TRUE;FALSE;294;2.1;2.57;0;0;250;75000;10
"No";200;50;0;7709;7709;0;"Design";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Odessa";12.5;FALSE;TRUE;FALSE;319;2.2;3.72;0;0;100;55000;35
"No";200;50;0;7823;7823;0;"Design";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Novorossiysk";13.2;FALSE;TRUE;FALSE;340;2.2;2.75;125;75;150;190000;1
"No";200;50;0;7953;7953;0;"Design";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Batumi";10.5;FALSE;TRUE;FALSE;414;2.2;4.17;12.5;12.5;400;0;4
"No";200;50;0;10870;10870;0;"Design";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Shanghai";22;FALSE;FALSE;FALSE;317;2.04;2.42;125;75;140;400000;500
"No";200;50;0;10745;10745;0;"Design";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Guangzhou";15;FALSE;FALSE;FALSE;334;2.04;1.92;125;75;140;200000;300
"No";200;50;0;11159;11159;0;"Design";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Dalian";10.8;FALSE;FALSE;FALSE;334;2.04;1.75;125;75;140;200000;267
"No";200;50;0;1663;1663;0;"Tropic";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Tubarao";22.3;FALSE;FALSE;FALSE;305;2.08;2.82;75;37.5;400;0;80
"No";200;50;0;710;710;0;"Tropic";"Bahia Blanca";13.72;FALSE;FALSE;FALSE;338;2.08;2.9;37.5;12.5;150;90000;14;"Rio Grande";12.29;FALSE;FALSE;FALSE;295;2.08;2.52;75;37.5;400;0;27
